event_index,time,event,location,pile_id,slot,car_id,queue_number,mode,status,requested_amount,charged_amount,current_fee,submit_time,wait_time
27,08:25:00,"(B,T1,O,0)",priority_waiting,,1,V1,T1,T,WAITING,15.83,0.0,,06:00:00,145分00秒
27,08:25:00,"(B,T1,O,0)",priority_waiting,,2,V17,T8,T,WAITING,10.0,0.0,,07:25:00,60分00秒
30,08:50:00,"(B,F1,O,0)",priority_waiting,,1,V3,F1,F,WAITING,20.0,0.0,,06:10:00,160分00秒
30,08:50:00,"(B,F1,O,0)",priority_waiting,,2,V7,F3,F,WAITING,110.0,0.0,,06:35:00,135分00秒
30,08:50:00,"(B,F1,O,0)",priority_waiting,,3,V11,F5,F,WAITING,110.0,0.0,,06:55:00,115分00秒
31,09:00:00,"(A,V28,F,30)",priority_waiting,,1,V3,F1,F,WAITING,20.0,0.0,,06:10:00,170分00秒
31,09:00:00,"(A,V28,F,30)",priority_waiting,,2,V7,F3,F,WAITING,110.0,0.0,,06:35:00,145分00秒
31,09:00:00,"(A,V28,F,30)",priority_waiting,,3,V11,F5,F,WAITING,110.0,0.0,,06:55:00,125分00秒
32,09:10:00,"(A,V1,O,0)",priority_waiting,,1,V3,F1,F,WAITING,20.0,0.0,,06:10:00,180分00秒
32,09:10:00,"(A,V1,O,0)",priority_waiting,,2,V7,F3,F,WAITING,110.0,0.0,,06:35:00,155分00秒
32,09:10:00,"(A,V1,O,0)",priority_waiting,,3,V11,F5,F,WAITING,110.0,0.0,,06:55:00,135分00秒
33,09:15:00,"(B,T1,O,1)",priority_waiting,,1,V3,F1,F,WAITING,20.0,0.0,,06:10:00,185分00秒
33,09:15:00,"(B,T1,O,1)",priority_waiting,,2,V7,F3,F,WAITING,110.0,0.0,,06:35:00,160分00秒
33,09:15:00,"(B,T1,O,1)",priority_waiting,,3,V11,F5,F,WAITING,110.0,0.0,,06:55:00,140分00秒
34,09:20:00,"(A,V27,O,0)",priority_waiting,,1,V3,F1,F,WAITING,20.0,0.0,,06:10:00,190分00秒
34,09:20:00,"(A,V27,O,0)",priority_waiting,,2,V7,F3,F,WAITING,110.0,0.0,,06:35:00,165分00秒
34,09:20:00,"(A,V27,O,0)",priority_waiting,,3,V11,F5,F,WAITING,110.0,0.0,,06:55:00,145分00秒
35,09:25:00,"(C,V21,O,35)",priority_waiting,,1,V3,F1,F,WAITING,20.0,0.0,,06:10:00,195分00秒
35,09:25:00,"(C,V21,O,35)",priority_waiting,,2,V7,F3,F,WAITING,110.0,0.0,,06:35:00,170分00秒
35,09:25:00,"(C,V21,O,35)",priority_waiting,,3,V11,F5,F,WAITING,110.0,0.0,,06:55:00,150分00秒
36,09:30:00,"(A,V19,O,0)",priority_waiting,,1,V3,F1,F,WAITING,20.0,0.0,,06:10:00,200分00秒
36,09:30:00,"(A,V19,O,0)",priority_waiting,,2,V7,F3,F,WAITING,110.0,0.0,,06:35:00,175分00秒
36,09:30:00,"(A,V19,O,0)",priority_waiting,,3,V11,F5,F,WAITING,110.0,0.0,,06:55:00,155分00秒
37,09:35:00,"(A,V28,O,0)",priority_waiting,,1,V3,F1,F,WAITING,20.0,0.0,,06:10:00,205分00秒
37,09:35:00,"(A,V28,O,0)",priority_waiting,,2,V7,F3,F,WAITING,110.0,0.0,,06:35:00,180分00秒
37,09:35:00,"(A,V28,O,0)",priority_waiting,,3,V11,F5,F,WAITING,110.0,0.0,,06:55:00,160分00秒
38,09:40:00,"(C,V23,O,40)",priority_waiting,,1,V3,F1,F,WAITING,20.0,0.0,,06:10:00,210分00秒
38,09:40:00,"(C,V23,O,40)",priority_waiting,,2,V7,F3,F,WAITING,110.0,0.0,,06:35:00,185分00秒
38,09:40:00,"(C,V23,O,40)",priority_waiting,,3,V11,F5,F,WAITING,110.0,0.0,,06:55:00,165分00秒
39,09:50:00,"(A,V29,T,30)",priority_waiting,,1,V3,F1,F,WAITING,20.0,0.0,,06:10:00,220分00秒
39,09:50:00,"(A,V29,T,30)",priority_waiting,,2,V7,F3,F,WAITING,110.0,0.0,,06:35:00,195分00秒
39,09:50:00,"(A,V29,T,30)",priority_waiting,,3,V11,F5,F,WAITING,110.0,0.0,,06:55:00,175分00秒
40,09:55:00,"(C,V14,O,30)",priority_waiting,,1,V3,F1,F,WAITING,20.0,0.0,,06:10:00,225分00秒
40,09:55:00,"(C,V14,O,30)",priority_waiting,,2,V7,F3,F,WAITING,110.0,0.0,,06:35:00,200分00秒
40,09:55:00,"(C,V14,O,30)",priority_waiting,,3,V11,F5,F,WAITING,110.0,0.0,,06:55:00,180分00秒
41,10:00:00,"(A,V30,T,10)",priority_waiting,,1,V3,F1,F,WAITING,20.0,0.0,,06:10:00,230分00秒
41,10:00:00,"(A,V30,T,10)",priority_waiting,,2,V7,F3,F,WAITING,110.0,0.0,,06:35:00,205分00秒
41,10:00:00,"(A,V30,T,10)",priority_waiting,,3,V11,F5,F,WAITING,110.0,0.0,,06:55:00,185分00秒
